[g6k_env] chdir -> /home/pyjast1123/workspace/builds/g6k
[enum_sieve_server] dims 70..110 (41), files=369, beta=40, steps_mult=1, prefetch=2
[80/369] ENUM_SIEVE dim78 seed8978 b1/GH=1.6205 t=1.082s (1.07 files/s)
[81/369] ENUM_SIEVE dim78 seed9 b1/GH=1.5936 t=1.084s (1.07 files/s)
[82/369] ENUM_SIEVE dim79 seed0 b1/GH=1.5708 t=1.139s (1.06 files/s)
[83/369] ENUM_SIEVE dim79 seed1013 b1/GH=1.6448 t=1.113s (1.06 files/s)
[84/369] ENUM_SIEVE dim79 seed16 b1/GH=1.6285 t=1.116s (1.06 files/s)
[85/369] ENUM_SIEVE dim79 seed1639 b1/GH=1.5544 t=1.141s (1.06 files/s)
[86/369] ENUM_SIEVE dim79 seed189 b1/GH=1.6730 t=1.146s (1.05 files/s)
[87/369] ENUM_SIEVE dim79 seed2707 b1/GH=1.6653 t=1.106s (1.05 files/s)
[88/369] ENUM_SIEVE dim79 seed4154 b1/GH=1.6735 t=1.109s (1.05 files/s)
[89/369] ENUM_SIEVE dim79 seed4211 b1/GH=1.5763 t=1.14s (1.05 files/s)
[90/369] ENUM_SIEVE dim79 seed6348 b1/GH=1.6155 t=1.138s (1.04 files/s)
[91/369] ENUM_SIEVE dim80 seed1472 b1/GH=1.6617 t=1.18s (1.04 files/s)
[92/369] ENUM_SIEVE dim80 seed1728 b1/GH=1.5587 t=1.18s (1.04 files/s)
[93/369] ENUM_SIEVE dim80 seed3865 b1/GH=1.4271 t=1.16s (1.04 files/s)
[94/369] ENUM_SIEVE dim80 seed426 b1/GH=1.5270 t=1.185s (1.03 files/s)
[95/369] ENUM_SIEVE dim80 seed5904 b1/GH=1.5565 t=1.198s (1.03 files/s)
[96/369] ENUM_SIEVE dim80 seed720 b1/GH=1.4573 t=1.237s (1.03 files/s)
[97/369] ENUM_SIEVE dim80 seed7856 b1/GH=1.3327 t=1.22s (1.03 files/s)
[98/369] ENUM_SIEVE dim80 seed7951 b1/GH=1.6070 t=1.16s (1.02 files/s)
[99/369] ENUM_SIEVE dim80 seed8 b1/GH=1.6012 t=1.144s (1.02 files/s)
[100/369] ENUM_SIEVE dim81 seed0 b1/GH=1.7172 t=1.218s (1.02 files/s)
[101/369] ENUM_SIEVE dim81 seed1 b1/GH=1.6076 t=1.237s (1.02 files/s)
[102/369] ENUM_SIEVE dim81 seed299 b1/GH=1.7018 t=1.267s (1.01 files/s)
[103/369] ENUM_SIEVE dim81 seed3273 b1/GH=1.6139 t=1.293s (1.01 files/s)
[104/369] ENUM_SIEVE dim81 seed4174 b1/GH=1.6518 t=1.255s (1.01 files/s)
[105/369] ENUM_SIEVE dim81 seed6473 b1/GH=1.7159 t=1.288s (1.01 files/s)
[106/369] ENUM_SIEVE dim81 seed71 b1/GH=1.5855 t=1.277s (1.00 files/s)
[107/369] ENUM_SIEVE dim81 seed7137 b1/GH=1.7355 t=1.261s (1.00 files/s)
[108/369] ENUM_SIEVE dim81 seed9152 b1/GH=1.5474 t=1.263s (1.00 files/s)
[109/369] ENUM_SIEVE dim82 seed0 b1/GH=1.7314 t=1.325s (0.99 files/s)
[110/369] ENUM_SIEVE dim82 seed1 b1/GH=1.7798 t=1.293s (0.99 files/s)
[111/369] ENUM_SIEVE dim82 seed155 b1/GH=1.6771 t=1.336s (0.99 files/s)
[112/369] ENUM_SIEVE dim82 seed2896 b1/GH=1.4881 t=1.283s (0.99 files/s)
[113/369] ENUM_SIEVE dim82 seed5001 b1/GH=1.6472 t=1.316s (0.98 files/s)
[114/369] ENUM_SIEVE dim82 seed5850 b1/GH=1.7210 t=1.267s (0.98 files/s)
[115/369] ENUM_SIEVE dim82 seed6917 b1/GH=1.6467 t=1.303s (0.98 files/s)
[116/369] ENUM_SIEVE dim82 seed8449 b1/GH=1.7104 t=1.291s (0.98 files/s)
[117/369] ENUM_SIEVE dim82 seed93 b1/GH=1.6371 t=1.289s (0.98 files/s)
[118/369] ENUM_SIEVE dim83 seed0 b1/GH=1.6893 t=1.317s (0.97 files/s)
[119/369] ENUM_SIEVE dim83 seed1 b1/GH=1.7663 t=1.391s (0.97 files/s)
[120/369] ENUM_SIEVE dim83 seed237 b1/GH=1.7112 t=1.324s (0.97 files/s)
[121/369] ENUM_SIEVE dim83 seed316 b1/GH=1.6337 t=1.356s (0.97 files/s)
[122/369] ENUM_SIEVE dim83 seed5121 b1/GH=1.5450 t=1.321s (0.96 files/s)
[123/369] ENUM_SIEVE dim83 seed5123 b1/GH=1.8330 t=1.398s (0.96 files/s)
[124/369] ENUM_SIEVE dim83 seed6036 b1/GH=1.6945 t=1.367s (0.96 files/s)
[125/369] ENUM_SIEVE dim83 seed64 b1/GH=1.7375 t=1.333s (0.96 files/s)
[126/369] ENUM_SIEVE dim83 seed899 b1/GH=1.6109 t=1.335s (0.95 files/s)
[127/369] ENUM_SIEVE dim84 seed0 b1/GH=1.7696 t=1.369s (0.95 files/s)
[128/369] ENUM_SIEVE dim84 seed1 b1/GH=1.7278 t=1.383s (0.95 files/s)
[129/369] ENUM_SIEVE dim84 seed1175 b1/GH=1.9323 t=1.442s (0.95 files/s)
[130/369] ENUM_SIEVE dim84 seed2 b1/GH=1.7866 t=1.401s (0.94 files/s)
[131/369] ENUM_SIEVE dim84 seed3 b1/GH=1.9282 t=1.436s (0.94 files/s)
[132/369] ENUM_SIEVE dim84 seed311 b1/GH=1.7094 t=1.486s (0.94 files/s)
[133/369] ENUM_SIEVE dim84 seed673 b1/GH=1.7911 t=1.413s (0.94 files/s)
[134/369] ENUM_SIEVE dim84 seed826 b1/GH=1.8626 t=1.456s (0.93 files/s)
[135/369] ENUM_SIEVE dim84 seed9 b1/GH=1.8055 t=1.423s (0.93 files/s)
[136/369] ENUM_SIEVE dim85 seed0 b1/GH=1.6584 t=1.459s (0.93 files/s)
[137/369] ENUM_SIEVE dim85 seed1 b1/GH=1.8229 t=1.471s (0.93 files/s)
[138/369] ENUM_SIEVE dim85 seed2 b1/GH=1.7718 t=1.453s (0.92 files/s)
[139/369] ENUM_SIEVE dim85 seed204 b1/GH=1.7040 t=1.457s (0.92 files/s)
[140/369] ENUM_SIEVE dim85 seed3 b1/GH=1.7886 t=1.413s (0.92 files/s)
[141/369] ENUM_SIEVE dim85 seed5 b1/GH=1.7165 t=1.437s (0.92 files/s)
[142/369] ENUM_SIEVE dim85 seed64 b1/GH=1.6010 t=1.448s (0.92 files/s)
[143/369] ENUM_SIEVE dim85 seed785 b1/GH=1.7474 t=1.423s (0.91 files/s)
[144/369] ENUM_SIEVE dim85 seed8 b1/GH=1.6059 t=1.444s (0.91 files/s)
[145/369] ENUM_SIEVE dim86 seed1755 b1/GH=1.8258 t=1.491s (0.91 files/s)
[146/369] ENUM_SIEVE dim86 seed249 b1/GH=1.8730 t=1.521s (0.91 files/s)
[147/369] ENUM_SIEVE dim86 seed279 b1/GH=1.9852 t=1.513s (0.91 files/s)
[148/369] ENUM_SIEVE dim86 seed2825 b1/GH=1.8201 t=1.499s (0.90 files/s)
[149/369] ENUM_SIEVE dim86 seed2966 b1/GH=1.9670 t=1.482s (0.90 files/s)
[150/369] ENUM_SIEVE dim86 seed446 b1/GH=1.8971 t=1.477s (0.90 files/s)
[151/369] ENUM_SIEVE dim86 seed456 b1/GH=1.7361 t=1.483s (0.90 files/s)
[152/369] ENUM_SIEVE dim86 seed5233 b1/GH=1.7198 t=1.476s (0.89 files/s)
[153/369] ENUM_SIEVE dim86 seed8971 b1/GH=1.6928 t=1.482s (0.89 files/s)
[154/369] ENUM_SIEVE dim87 seed0 b1/GH=1.7944 t=1.573s (0.89 files/s)
[155/369] ENUM_SIEVE dim87 seed15 b1/GH=1.8482 t=1.551s (0.89 files/s)
[156/369] ENUM_SIEVE dim87 seed2488 b1/GH=1.8345 t=1.546s (0.89 files/s)
[157/369] ENUM_SIEVE dim87 seed295 b1/GH=1.8705 t=1.548s (0.88 files/s)
[158/369] ENUM_SIEVE dim87 seed4 b1/GH=1.8906 t=1.54s (0.88 files/s)
[159/369] ENUM_SIEVE dim87 seed6 b1/GH=1.6447 t=1.573s (0.88 files/s)
[160/369] ENUM_SIEVE dim87 seed606 b1/GH=1.7938 t=1.56s (0.88 files/s)
[161/369] ENUM_SIEVE dim87 seed629 b1/GH=1.8520 t=1.574s (0.88 files/s)
[162/369] ENUM_SIEVE dim87 seed9651 b1/GH=1.8766 t=1.564s (0.87 files/s)
[163/369] ENUM_SIEVE dim88 seed0 b1/GH=1.9317 t=1.639s (0.87 files/s)
[164/369] ENUM_SIEVE dim88 seed1 b1/GH=1.7945 t=1.635s (0.87 files/s)
[165/369] ENUM_SIEVE dim88 seed13 b1/GH=1.9458 t=1.605s (0.87 files/s)
[166/369] ENUM_SIEVE dim88 seed184 b1/GH=1.7086 t=1.649s (0.87 files/s)
[167/369] ENUM_SIEVE dim88 seed2 b1/GH=1.9962 t=1.607s (0.86 files/s)
[168/369] ENUM_SIEVE dim88 seed3 b1/GH=1.8365 t=1.578s (0.86 files/s)
[169/369] ENUM_SIEVE dim88 seed5 b1/GH=1.8108 t=1.642s (0.86 files/s)
[170/369] ENUM_SIEVE dim88 seed6 b1/GH=1.8843 t=1.634s (0.86 files/s)
[171/369] ENUM_SIEVE dim88 seed8 b1/GH=1.7610 t=1.609s (0.86 files/s)
[172/369] ENUM_SIEVE dim89 seed0 b1/GH=1.9888 t=1.708s (0.85 files/s)
[173/369] ENUM_SIEVE dim89 seed1 b1/GH=1.7943 t=1.679s (0.85 files/s)
[174/369] ENUM_SIEVE dim89 seed1512 b1/GH=1.8023 t=1.691s (0.85 files/s)
[175/369] ENUM_SIEVE dim89 seed218 b1/GH=1.8160 t=1.701s (0.85 files/s)
[176/369] ENUM_SIEVE dim89 seed223 b1/GH=1.8532 t=1.707s (0.84 files/s)
[177/369] ENUM_SIEVE dim89 seed5193 b1/GH=2.0068 t=1.7s (0.84 files/s)
[178/369] ENUM_SIEVE dim89 seed6281 b1/GH=1.8101 t=1.679s (0.84 files/s)
[179/369] ENUM_SIEVE dim89 seed7 b1/GH=1.9554 t=1.714s (0.84 files/s)
[180/369] ENUM_SIEVE dim89 seed994 b1/GH=1.9031 t=1.671s (0.84 files/s)
[181/369] ENUM_SIEVE dim90 seed0 b1/GH=1.8951 t=1.778s (0.83 files/s)
[182/369] ENUM_SIEVE dim90 seed1 b1/GH=1.8262 t=1.771s (0.83 files/s)
[183/369] ENUM_SIEVE dim90 seed11 b1/GH=2.0120 t=1.755s (0.83 files/s)
[184/369] ENUM_SIEVE dim90 seed1705 b1/GH=1.8106 t=1.799s (0.83 files/s)
[185/369] ENUM_SIEVE dim90 seed2 b1/GH=1.9485 t=1.792s (0.83 files/s)
[186/369] ENUM_SIEVE dim90 seed3 b1/GH=1.8749 t=1.76s (0.82 files/s)
[187/369] ENUM_SIEVE dim90 seed3568 b1/GH=1.9360 t=1.762s (0.82 files/s)
[188/369] ENUM_SIEVE dim90 seed78 b1/GH=1.9425 t=1.743s (0.82 files/s)
[189/369] ENUM_SIEVE dim90 seed9 b1/GH=2.0133 t=1.756s (0.82 files/s)
[190/369] ENUM_SIEVE dim91 seed1203 b1/GH=1.8722 t=1.837s (0.82 files/s)
[191/369] ENUM_SIEVE dim91 seed1303 b1/GH=2.1238 t=1.83s (0.81 files/s)
[192/369] ENUM_SIEVE dim91 seed161 b1/GH=1.8888 t=1.813s (0.81 files/s)
[193/369] ENUM_SIEVE dim91 seed3924 b1/GH=2.1197 t=1.789s (0.81 files/s)
[194/369] ENUM_SIEVE dim91 seed421 b1/GH=1.7692 t=1.826s (0.81 files/s)
[195/369] ENUM_SIEVE dim91 seed5621 b1/GH=2.0043 t=1.812s (0.81 files/s)
[196/369] ENUM_SIEVE dim91 seed733 b1/GH=2.0619 t=1.827s (0.80 files/s)
[197/369] ENUM_SIEVE dim91 seed778 b1/GH=1.8198 t=1.787s (0.80 files/s)
[198/369] ENUM_SIEVE dim91 seed78 b1/GH=1.8608 t=1.816s (0.80 files/s)
[199/369] ENUM_SIEVE dim92 seed0 b1/GH=1.9250 t=1.909s (0.80 files/s)
[200/369] ENUM_SIEVE dim92 seed1 b1/GH=1.9656 t=1.852s (0.80 files/s)
[201/369] ENUM_SIEVE dim92 seed1351 b1/GH=1.9796 t=1.897s (0.79 files/s)
[202/369] ENUM_SIEVE dim92 seed148 b1/GH=1.8844 t=1.889s (0.79 files/s)
[203/369] ENUM_SIEVE dim92 seed2 b1/GH=2.0829 t=1.927s (0.79 files/s)
[204/369] ENUM_SIEVE dim92 seed3 b1/GH=1.7691 t=1.887s (0.79 files/s)
[205/369] ENUM_SIEVE dim92 seed501 b1/GH=2.0245 t=1.975s (0.79 files/s)
[206/369] ENUM_SIEVE dim92 seed60 b1/GH=2.0419 t=1.909s (0.78 files/s)
[207/369] ENUM_SIEVE dim92 seed904 b1/GH=1.9667 t=1.874s (0.78 files/s)
[208/369] ENUM_SIEVE dim93 seed0 b1/GH=1.9607 t=1.936s (0.78 files/s)
[209/369] ENUM_SIEVE dim93 seed1 b1/GH=2.1265 t=1.971s (0.78 files/s)
[210/369] ENUM_SIEVE dim93 seed1139 b1/GH=1.9167 t=1.99s (0.78 files/s)
[211/369] ENUM_SIEVE dim93 seed133 b1/GH=1.8585 t=1.92s (0.77 files/s)
[212/369] ENUM_SIEVE dim93 seed2 b1/GH=2.1102 t=1.945s (0.77 files/s)
[213/369] ENUM_SIEVE dim93 seed257 b1/GH=2.1641 t=2.015s (0.77 files/s)
[214/369] ENUM_SIEVE dim93 seed283 b1/GH=1.9996 t=1.977s (0.77 files/s)
[215/369] ENUM_SIEVE dim93 seed3 b1/GH=1.9903 t=1.971s (0.77 files/s)
[216/369] ENUM_SIEVE dim93 seed302 b1/GH=2.0128 t=1.955s (0.77 files/s)
[217/369] ENUM_SIEVE dim94 seed0 b1/GH=2.1341 t=2.067s (0.76 files/s)
[218/369] ENUM_SIEVE dim94 seed1 b1/GH=2.1098 t=2.018s (0.76 files/s)
[219/369] ENUM_SIEVE dim94 seed147 b1/GH=1.9863 t=2.053s (0.76 files/s)
[220/369] ENUM_SIEVE dim94 seed2 b1/GH=1.7899 t=2.058s (0.76 files/s)
