dims = 70..110 (41 integer dims), seeds/dim = ALL
methods=['LLL', 'BKZ', 'ENUM']  tasks=1107  workers=19
[270/1107] dim79 BKZ seed4211 b1/GH=1.8182 t=3.417s
[271/1107] dim79 ENUM seed4154 b1/GH=1.5991 t=3.519s
[272/1107] dim80 BKZ seed1728 b1/GH=1.7875 t=2.325s
[273/1107] dim80 ENUM seed1728 b1/GH=1.6816 t=2.381s
[274/1107] dim79 ENUM seed6348 b1/GH=1.6555 t=3.517s
[275/1107] dim80 BKZ seed1472 b1/GH=1.7159 t=3.563s
[276/1107] dim80 LLL seed3865 b1/GH=2.2186 t=2.176s
[277/1107] dim80 LLL seed1728 b1/GH=2.0602 t=3.338s
[278/1107] dim80 BKZ seed3865 b1/GH=1.5059 t=2.299s
[279/1107] dim80 LLL seed426 b1/GH=2.1238 t=2.188s
[280/1107] dim80 BKZ seed426 b1/GH=1.7535 t=2.345s
[281/1107] dim80 ENUM seed426 b1/GH=1.5791 t=2.471s
[282/1107] dim80 ENUM seed720 b1/GH=1.6196 t=2.489s
[283/1107] dim80 LLL seed7951 b1/GH=2.1833 t=2.074s
[284/1107] dim80 ENUM seed3865 b1/GH=1.7380 t=3.756s
[285/1107] dim80 LLL seed5904 b1/GH=2.1549 t=3.261s
[286/1107] dim80 ENUM seed7856 b1/GH=1.6670 t=2.487s
[287/1107] dim80 BKZ seed5904 b1/GH=1.7553 t=3.475s
[288/1107] dim80 LLL seed8 b1/GH=2.3355 t=2.147s
[289/1107] dim80 LLL seed720 b1/GH=2.4922 t=3.387s
[290/1107] dim80 ENUM seed5904 b1/GH=1.7079 t=3.694s
[291/1107] dim80 BKZ seed720 b1/GH=1.9141 t=3.554s
[292/1107] dim80 ENUM seed8 b1/GH=1.6710 t=2.377s
[293/1107] dim80 LLL seed7856 b1/GH=2.1851 t=3.448s
[294/1107] dim81 LLL seed0 b1/GH=1.9286 t=2.347s
[295/1107] dim80 BKZ seed7856 b1/GH=1.7362 t=3.606s
[296/1107] dim81 BKZ seed0 b1/GH=1.7947 t=2.482s
[297/1107] dim80 BKZ seed7951 b1/GH=1.6217 t=3.463s
[298/1107] dim80 ENUM seed7951 b1/GH=1.5770 t=3.611s
[299/1107] dim81 ENUM seed0 b1/GH=1.7172 t=2.6s
[300/1107] dim80 BKZ seed8 b1/GH=1.9486 t=3.479s
[301/1107] dim81 LLL seed1 b1/GH=1.9065 t=2.298s
[302/1107] dim81 BKZ seed1 b1/GH=1.8058 t=2.401s
[303/1107] dim81 BKZ seed299 b1/GH=1.7507 t=2.436s
[304/1107] dim81 LLL seed3273 b1/GH=1.9947 t=2.328s
[305/1107] dim81 BKZ seed4174 b1/GH=1.8050 t=2.327s
[306/1107] dim81 LLL seed6473 b1/GH=2.4603 t=2.316s
[307/1107] dim81 LLL seed299 b1/GH=2.0649 t=3.472s
[308/1107] dim81 ENUM seed1 b1/GH=1.6448 t=3.886s
[309/1107] dim81 ENUM seed6473 b1/GH=1.6463 t=2.603s
[310/1107] dim81 LLL seed4174 b1/GH=2.6826 t=3.356s
[311/1107] dim81 ENUM seed299 b1/GH=1.7507 t=3.861s
[312/1107] dim81 BKZ seed3273 b1/GH=1.8008 t=3.852s
[313/1107] dim81 ENUM seed71 b1/GH=1.8346 t=2.538s
[314/1107] dim81 ENUM seed3273 b1/GH=1.6203 t=3.941s
[315/1107] dim81 BKZ seed7137 b1/GH=1.8549 t=2.447s
[316/1107] dim81 ENUM seed4174 b1/GH=1.7234 t=3.847s
[317/1107] dim81 LLL seed9152 b1/GH=2.2774 t=2.298s
[318/1107] dim81 BKZ seed6473 b1/GH=1.7766 t=3.763s
[319/1107] dim81 ENUM seed7137 b1/GH=1.7179 t=2.534s
[320/1107] dim81 LLL seed71 b1/GH=1.9801 t=3.511s
[321/1107] dim81 BKZ seed9152 b1/GH=1.5474 t=2.46s
[322/1107] dim81 LLL seed7137 b1/GH=1.8785 t=3.52s
[323/1107] dim81 BKZ seed71 b1/GH=1.7768 t=3.724s
[324/1107] dim82 LLL seed0 b1/GH=2.3026 t=2.408s
[325/1107] dim81 ENUM seed9152 b1/GH=1.7937 t=2.537s
[326/1107] dim82 LLL seed1 b1/GH=2.2202 t=2.378s
[327/1107] dim82 BKZ seed155 b1/GH=1.8425 t=2.607s
[328/1107] dim82 LLL seed2896 b1/GH=2.5212 t=2.38s
[329/1107] dim82 BKZ seed0 b1/GH=1.7498 t=3.887s
[330/1107] dim82 BKZ seed5001 b1/GH=1.8579 t=2.528s
[331/1107] dim82 ENUM seed2896 b1/GH=1.7536 t=2.674s
[332/1107] dim82 LLL seed5850 b1/GH=2.4574 t=2.401s
[333/1107] dim82 ENUM seed0 b1/GH=1.6903 t=4.074s
[334/1107] dim82 BKZ seed1 b1/GH=1.8889 t=3.806s
[335/1107] dim82 LLL seed6917 b1/GH=2.3704 t=2.456s
[336/1107] dim82 ENUM seed1 b1/GH=1.7285 t=4.009s
[337/1107] dim82 LLL seed155 b1/GH=2.2294 t=3.862s
[338/1107] dim82 BKZ seed6917 b1/GH=1.7017 t=2.578s
[339/1107] dim82 LLL seed5001 b1/GH=2.3635 t=3.629s
[340/1107] dim82 ENUM seed155 b1/GH=1.7810 t=4.135s
[341/1107] dim82 BKZ seed2896 b1/GH=1.8290 t=4.006s
[342/1107] dim82 ENUM seed6917 b1/GH=1.6954 t=2.752s
[343/1107] dim82 ENUM seed5001 b1/GH=1.8149 t=4.114s
[344/1107] dim82 BKZ seed5850 b1/GH=1.9550 t=3.854s
[345/1107] dim82 LLL seed8449 b1/GH=2.3148 t=2.433s
[346/1107] dim82 ENUM seed5850 b1/GH=1.8985 t=4.106s
[347/1107] dim82 BKZ seed8449 b1/GH=1.8357 t=2.601s
[348/1107] dim82 LLL seed93 b1/GH=2.5991 t=2.395s
[349/1107] dim82 BKZ seed93 b1/GH=2.0301 t=2.586s
[350/1107] dim82 ENUM seed93 b1/GH=1.7421 t=2.71s
[351/1107] dim83 ENUM seed0 b1/GH=1.8381 t=2.834s
[352/1107] dim83 ENUM seed1 b1/GH=1.7423 t=2.786s
[353/1107] dim82 ENUM seed8449 b1/GH=1.7652 t=4.049s
[354/1107] dim83 LLL seed316 b1/GH=2.5355 t=2.498s
[355/1107] dim83 LLL seed0 b1/GH=2.5174 t=3.842s
[356/1107] dim83 LLL seed5121 b1/GH=1.6591 t=2.538s
[357/1107] dim83 LLL seed1 b1/GH=2.2381 t=3.85s
[358/1107] dim83 BKZ seed0 b1/GH=1.8282 t=4.103s
[359/1107] dim83 LLL seed237 b1/GH=2.3872 t=3.731s
[360/1107] dim83 LLL seed5123 b1/GH=2.0665 t=2.483s
[361/1107] dim83 BKZ seed1 b1/GH=1.8108 t=4.192s
[362/1107] dim83 ENUM seed5121 b1/GH=1.6591 t=2.822s
[363/1107] dim83 BKZ seed237 b1/GH=1.9102 t=4.009s
[364/1107] dim83 BKZ seed5123 b1/GH=1.9312 t=2.697s
[365/1107] dim83 ENUM seed237 b1/GH=1.7966 t=4.262s
[366/1107] dim83 ENUM seed5123 b1/GH=1.7726 t=2.821s
[367/1107] dim83 BKZ seed316 b1/GH=1.9121 t=4.151s
[368/1107] dim83 ENUM seed316 b1/GH=1.7044 t=4.233s
[369/1107] dim83 LLL seed6036 b1/GH=2.2869 t=2.522s
[370/1107] dim83 BKZ seed6036 b1/GH=1.7478 t=2.64s
