dim	seed	initial_ratio	final_ratio	ratio_improvement	initial_defect	final_defect	defect_improvement	initial_max_cos	final_max_cos	max_cos_improvement	initial_min_cos	final_min_cos	best_episode	first_success_episode	success	file
57	7	1.522166	1.044392	0.477773	65.731201	54.420471	11.310730	0.647338	0.558794	0.088544	0.000556	0.000355	4	4	1	/home/pyjast1123/DRL/results/a6up_dim57/dim57_seed7.txt
57	9	1.629487	1.073915	0.555572	72.307587	53.929504	18.378082	0.797964	0.605376	0.192588	0.000149	0.000259	7	NA	0	/home/pyjast1123/DRL/results/a6up_dim57/dim57_seed9.txt
57	11	1.614951	1.036558	0.578394	64.065491	54.377808	9.687683	0.648693	0.540771	0.107921	0.000428	0.000054	5	2	1	/home/pyjast1123/DRL/results/a6up_dim57/dim57_seed11.txt
57	13	1.470379	1.045157	0.425221	66.048401	54.875092	11.173309	0.563045	0.554480	0.008564	0.000177	0.000124	5	5	1	/home/pyjast1123/DRL/results/a6up_dim57/dim57_seed13.txt
58	0	1.508693	1.060961	0.447732	67.866425	54.904449	12.961975	0.586541	0.573907	0.012634	0.000229	0.000280	10	NA	0	/home/pyjast1123/DRL/results/a6up_dim58/dim58_seed0.txt
58	1	1.963439	1.052527	0.910912	69.005127	55.678680	13.326447	0.637838	0.541858	0.095980	0.000108	0.000123	8	NA	0	/home/pyjast1123/DRL/results/a6up_dim58/dim58_seed1.txt
58	2	1.439903	1.077211	0.362692	66.585541	55.007385	11.578156	0.571952	0.570242	0.001711	0.000017	0.000214	2	NA	0	/home/pyjast1123/DRL/results/a6up_dim58/dim58_seed2.txt
58	3	1.683592	1.036743	0.646848	71.514008	54.589386	16.924622	0.630711	0.546540	0.084171	0.000089	0.000042	7	7	1	/home/pyjast1123/DRL/results/a6up_dim58/dim58_seed3.txt
58	5	1.613608	1.059023	0.554586	70.290161	53.466522	16.823639	0.568058	0.526742	0.041316	0.000248	0.000058	11	NA	0	/home/pyjast1123/DRL/results/a6up_dim58/dim58_seed5.txt
58	7	1.491508	1.024788	0.466720	67.827576	55.349060	12.478516	0.597304	0.540625	0.056680	0.000187	0.000023	3	3	1	/home/pyjast1123/DRL/results/a6up_dim58/dim58_seed7.txt
58	9	1.722762	1.081473	0.641289	69.637756	54.770050	14.867706	0.635300	0.611791	0.023509	0.000030	0.000013	10	NA	0	/home/pyjast1123/DRL/results/a6up_dim58/dim58_seed9.txt
58	11	1.471450	1.062273	0.409177	65.464813	56.362976	9.101837	0.616414	0.562793	0.053621	0.000015	0.000022	10	NA	0	/home/pyjast1123/DRL/results/a6up_dim58/dim58_seed11.txt
58	13	1.710307	1.056698	0.653610	69.801422	55.637512	14.163910	0.619087	0.624671	-0.005583	0.000093	0.000097	9	NA	0	/home/pyjast1123/DRL/results/a6up_dim58/dim58_seed13.txt
59	0	1.676933	1.061352	0.615581	72.133490	58.460281	13.673210	0.621185	0.646402	-0.025217	0.000261	0.000424	2	NA	0	/home/pyjast1123/DRL/results/a6up_dim59/dim59_seed0.txt
59	1	1.706175	1.044528	0.661647	71.201789	58.254645	12.947144	0.621239	0.712302	-0.091063	0.000005	0.000163	9	7	1	/home/pyjast1123/DRL/results/a6up_dim59/dim59_seed1.txt
59	2	1.153984	1.081262	0.072721	67.532210	59.586108	7.946102	0.657482	0.609540	0.047942	0.000156	0.000021	3	NA	0	/home/pyjast1123/DRL/results/a6up_dim59/dim59_seed2.txt
59	3	1.704472	1.704472	0.000000	75.793972	75.793972	0.000000	0.682615	0.682615	0.000000	0.000372	0.000372	0	NA	0	/home/pyjast1123/DRL/results/a6up_dim59/dim59_seed3.txt
59	5	1.289250	1.111756	0.177494	65.337502	57.516868	7.820634	0.657399	0.594067	0.063332	0.000258	0.000346	10	NA	0	/home/pyjast1123/DRL/results/a6up_dim59/dim59_seed5.txt
59	7	1.494875	1.494875	0.000000	73.487130	73.487130	0.000000	0.600916	0.600916	0.000000	0.000518	0.000518	0	NA	0	/home/pyjast1123/DRL/results/a6up_dim59/dim59_seed7.txt
59	9	1.528852	1.075336	0.453516	68.390622	58.409803	9.980819	0.603161	0.670295	-0.067134	0.000177	0.000295	8	NA	0	/home/pyjast1123/DRL/results/a6up_dim59/dim59_seed9.txt
59	11	1.476885	1.099667	0.377218	72.532306	60.057406	12.474900	0.634378	0.585501	0.048877	0.000173	0.000244	6	NA	0	/home/pyjast1123/DRL/results/a6up_dim59/dim59_seed11.txt
59	13	2.075978	1.083343	0.992635	75.718376	57.955175	17.763201	0.656273	0.595133	0.061140	0.000068	0.000087	14	NA	0	/home/pyjast1123/DRL/results/a6up_dim59/dim59_seed13.txt
67	11	1.528317	1.068133	0.460184	90.851501	73.148254	17.703247	0.657766	0.532997	0.124769	0.000033	0.000158	56	NA	0	/home/pyjast1123/DRL/results/a6up_dim67/dim67_seed11.txt
67	13	1.914013	1.041926	0.872088	92.321317	72.250702	20.070615	0.681386	0.667419	0.013967	0.000324	0.000246	67	67	1	/home/pyjast1123/DRL/results/a6up_dim67/dim67_seed13.txt
