method,dim,n_seeds,b1_max,b1_min,b1_mean,b1_var,b1_gh_max,b1_gh_min,b1_gh_mean,b1_gh_var,max_cos_max,max_cos_min,max_cos_mean,max_cos_var,mean_cos_max,mean_cos_min,mean_cos_mean,mean_cos_var
ENUM_SIEVE,83,9,4256.130755,3603.507042,3934.001004,34321.876667,1.83304,1.545034,1.691282,0.006604,0.672045,0.572248,0.617279,0.00086,0.161148,0.153756,0.157287,6e-06
ENUM_SIEVE,84,9,4522.287032,3992.413305,4243.428416,32333.276661,1.932278,1.709434,1.812572,0.005674,0.655423,0.573283,0.607823,0.00053,0.1623,0.1532,0.157445,1e-05
ENUM_SIEVE,85,9,4298.21428,3776.175314,4032.822592,31559.612073,1.822916,1.600989,1.712949,0.005504,0.701417,0.542352,0.622226,0.003044,0.160515,0.152038,0.156735,6e-06
ENUM_SIEVE,86,9,4695.229281,4007.01697,4342.808158,55724.191,1.985214,1.692848,1.835226,0.009873,0.660743,0.565941,0.608355,0.000898,0.158571,0.150517,0.155038,6e-06
ENUM_SIEVE,87,9,4487.39089,3910.567606,4333.438105,28969.191116,1.890584,1.644742,1.822799,0.004971,0.684042,0.542861,0.626468,0.001971,0.161445,0.152778,0.155982,6e-06
ENUM_SIEVE,88,9,4764.160996,4070.31387,4429.587803,46368.894334,1.996179,1.708615,1.852159,0.007896,0.65622,0.578526,0.613295,0.000627,0.162137,0.151868,0.156104,1.1e-05
ENUM_SIEVE,89,9,4841.566585,4329.001502,4524.121855,37374.554787,2.006806,1.794314,1.881112,0.006357,0.686051,0.571983,0.620866,0.001562,0.161054,0.15138,0.155371,1e-05
ENUM_SIEVE,90,9,4862.174308,4374.358353,4633.481325,25531.144124,2.013316,1.810561,1.917683,0.004681,0.712688,0.552045,0.603126,0.002162,0.159434,0.151664,0.154831,7e-06
ENUM_SIEVE,91,9,5161.425578,4299.125144,4734.619066,92239.080193,2.123826,1.769198,1.94673,0.015756,0.650289,0.580497,0.612609,0.000557,0.156335,0.151412,0.154279,3e-06
ENUM_SIEVE,92,9,5093.744104,4317.557875,4795.270738,47269.218755,2.082945,1.769062,1.959979,0.007761,0.708945,0.571735,0.622954,0.001944,0.162788,0.150587,0.155298,1.5e-05
ENUM_SIEVE,93,9,5323.289303,4554.624573,4947.97375,58549.546831,2.16407,1.858519,2.015486,0.009073,0.675358,0.560753,0.604996,0.001381,0.159941,0.147269,0.155243,1.3e-05
ENUM_SIEVE,94,9,5260.298185,4416.11628,4995.337262,66256.750949,2.134089,1.78994,2.023783,0.010642,0.648722,0.578202,0.616947,0.000647,0.161357,0.150717,0.155232,1.1e-05
ENUM_SIEVE,95,9,5737.788947,5035.967534,5351.870487,48548.397282,2.321854,2.038394,2.158788,0.007928,0.724884,0.567733,0.629688,0.001561,0.163241,0.147448,0.156346,2.2e-05
ENUM_SIEVE,96,9,5885.954383,4975.631518,5321.466686,66612.199789,2.360136,1.992309,2.135156,0.01082,0.681838,0.560875,0.605891,0.001175,0.160132,0.151018,0.156224,1.1e-05
