dimension,num_records,seeds,contestant_algorithm_pairs,top_record
79,9,0 16 189 1013 1639 2707 4154 4211 6348,"Jim Johnson :: Sieving | Hayato Waki and Masaya Yasuda :: BKZ,Other | Walter White :: Other | Dan Ding :: BKZ,Other","pos=584, seed=6348, norm=1966, author=Jim Johnson, algorithm=Sieving"
78,7,0 9 42 84 8916 8978,"Jim Johnson :: Sieving | Walter White :: Other | Michael Schneider, ï¿½zgï¿½r Dagdelen, Jan Reichelt :: ENUM,Other | Moon Sung Lee :: Sieving | Antonio Campello and Joï¿½o Strapasson :: BKZ,Other","pos=593, seed=8978, norm=2030, author=Jim Johnson, algorithm=Sieving"
77,6,0 100 190 584 2955 6871,"Jim Johnson :: Sieving | Hayato Waki and Masaya Yasuda :: BKZ,Other | Zhongxiang Zheng :: BKZ | Walter White :: Other | Malin Haque :: BKZ","pos=600, seed=6871, norm=1988, author=Jim Johnson, algorithm=Sieving"
76,10,0 1 57 164 309 436 531 813 866 4782,"Jim Johnson :: Sieving | Michael Burger :: ENUM,BKZ | Walter White :: Other | Moon Sung Lee :: Sieving | Michael Schneider :: BKZ","pos=606, seed=4782, norm=1902, author=Jim Johnson, algorithm=Sieving"
75,10,0 6 38 776 1000 1206 1237 1822 2840 3660,"Jim Johnson :: Sieving | Hayato Waki and Masaya Yasuda :: BKZ,Other | Walter White :: Other | Malin Haque :: BKZ | Jan Reichelt :: Other | Michael Schneider, Norman Gï¿½ttert :: Other","pos=616, seed=3660, norm=1953, author=Jim Johnson, algorithm=Sieving"
74,13,0 32 69 127 144 240 503 777 1575 4190 5466 6608 8100,"Jim Johnson :: Sieving | Michael Burger :: ENUM,BKZ | Walter White :: Other | Usatyuk Vasiliy :: BKZ | Benjamin Milde :: Sieving","pos=626, seed=8100, norm=1925, author=Jim Johnson, algorithm=Sieving"
73,6,0 74 179,"Hayato Waki and Masaya Yasuda :: BKZ,Other | Walter White :: Other | Dan Ding :: BKZ,Other","pos=639, seed=179, norm=1968, author=Hayato Waki and Masaya Yasuda, algorithm=BKZ,Other"
72,12,0 16 98 1077 4056 4058 5076 5499 5555 6214 7260,"Jim Johnson :: Sieving | N. Tateiwa, Y. Shinano, A. Yoshida, S. Nakamura, S. Kaji, M. Yasuda, K. Fujisawa :: ENUM,BKZ | Dan Ding, Guizhen Zhu and Xiaoyun Wang :: BKZ,Other | Walter White :: Other | Moon Sung Lee :: Sieving | Michael Schneider :: BKZ","pos=645, seed=7260, norm=1871, author=Jim Johnson, algorithm=Sieving"
71,5,1 31 53 885 1000,"Hayato Waki and Masaya Yasuda :: BKZ,Other | Walter White :: Other | Malin Haque :: BKZ | Usatyuk Vasiliy :: BKZ | Michael Schneider :: Other","pos=657, seed=885, norm=1890, author=Hayato Waki and Masaya Yasuda, algorithm=BKZ,Other"
70,4,0 17 1815 4592,"Jim Johnson :: Sieving | Hayato Waki and Masaya Yasuda :: BKZ,Other | Felix Fontein :: Other | Benjamin Milde :: Sieving","pos=662, seed=4592, norm=1869, author=Jim Johnson, algorithm=Sieving"
