position,dimension,norm,seed,contestant,algorithm,subm_date,approx_factor,title_note
727,60,1917,15,Felix Fontein,"BKZ,Other",2012-07-3,0.96174,"BKZ (alpha = 0.99, blocksize 20) with Deep Insertions (to the first 10 positions),<br />pre-reduction with LLL (alpha = 0.75),<br />running time was 4.7 minutes (without pre-reduction)"
728,60,1943,0,Moon Sung Lee,Sieving,2010-10-22,0.97131,
729,60,1991,0,Michael Schneider,BKZ,2010-09-9,0.99488,BKZ 2-25
730,59,1676,8157,Jim Johnson,Sieving,2021-09-27,0.84737,Modified G6K Workout. Total CPU time: 0.2110s.
731,59,1761,7082,Jim Johnson,Sieving,2021-09-26,0.88605,Modified G6K Workout. Total CPU time: 0.0718s.
732,59,1779,3172,Jim Johnson,Sieving,2021-09-26,0.89940,Modified G6K Workout. Total CPU time: 0.1554s.
733,59,1788,2360,Hayato Waki and Masaya Yasuda,"BKZ,Other",2016-11-20,0.90630,
734,59,1801,2335,"Malin Haque, Dipta Das & Nafiul Hassan",BKZ,2016-10-30,0.91220,
735,59,1817,1650,"Malin Haque, Dipta Das & Nafiul Hassan",BKZ,2016-10-30,0.92045,
736,59,1838,853,Malin Haque and Iftekharul Islam,"ENUM,BKZ",2015-10-10,0.92660,
737,59,1848,6,Walter White,Other,2013-09-24,0.93240,
738,59,2069,0,Malin Haque,BKZ,2013-04-24,1.04190,
739,58,1724,74335,Qianxue Cao,Sieving,2024-02-7,0.87906,g6k workout(modified) + random seed
740,58,1730,1167,Jim Johnson,Sieving,2021-09-26,0.88353,Modified G6K Workout. Total CPU time: 0.0259s.
741,58,1743,2245,Jim Johnson,Sieving,2021-09-26,0.88423,Modified G6K Workout. Total CPU time: 0.1534s.
742,58,1745,1772,Jim Johnson,Sieving,2021-09-26,0.89268,Modified G6K Workout. Total CPU time: 0.0969s.
743,58,1747,1436,Jim Johnson,Sieving,2021-09-26,0.89504,Modified G6K Workout. Total CPU time: 0.8950s.
744,58,1748,898,"Dan Ding, Guizhen Zhu and Xiaoyun Wang","BKZ,Other",2014-02-8,0.88683,"A Genetic Algorithm with a Preprocessing of BKZ, using 603.416s on a IBM Blade"
745,58,1787,89,Walter White,,2013-09-24,0.91212,
746,58,2009,9999,Usatyuk VAsiliy,BKZ,2012-08-24,1.02072,"5 second BKZ-25 KFP delta 0.9999999999999999 multipresion Phenom X4 965/ 8 Gb DDR2 800, ОС Microsoft Windows 7 x64 SP1"
747,58,2017,0,Moon Sung Lee,Sieving,2010-10-22,1.02688,
748,57,1639,9633,Jim Johnson,Sieving,2021-10-2,0.83966,Modified G6K Workout. Total CPU time:0.0702s.
749,57,1643,3257,Jim Johnson,Sieving,2021-09-26,0.84202,Modified G6K Workout. Total CPU time: 0.1750s.
750,57,1698,2917,Jim Johnson,Sieving,2021-09-26,0.87102,Modified G6K Workout. Total CPU time: 0.0531s.
751,57,1703,3207,Jim Johnson,Sieving,2021-09-26,0.87288,Modified G6K Workout. Total CPU time: 0.0626s.
752,57,1725,2730,Jim Johnson,Sieving,2021-09-26,0.88295,Modified G6K Workout. Total CPU time: 0.0637s.
753,57,1730,1602,Hayato Waki and Masaya Yasuda,"BKZ,Other",2016-11-20,0.89155,
754,57,1763,433,Malin Haque and Iftekharul Islam,"ENUM,BKZ",2015-10-9,0.91080,
755,57,1772,42,Walter White,Other,2013-09-24,0.91384,
756,57,1953,0,Malin Haque,BKZ,2013-04-24,1.00684,
757,56,1488,9939,Jim Johnson,Sieving,2021-09-26,0.76768,Modified G6K Workout. Total CPU time: 0.0565s.
758,56,1704,2908,Jim Johnson,Sieving,2021-09-26,0.88328,Modified G6K Workout. Total CPU time: 0.0321s.
759,56,1711,539,"Dan Ding, Guizhen Zhu and Xiaoyun Wang","BKZ,Other",2014-02-8,0.88941,"A Genetic Algorithm with a Preprocessing of BKZ, using 466.217s on a IBM Blade"
760,56,1751,20,Walter White,Other,2013-09-24,0.90302,
761,56,1776,2,Jan Reichelt,Other,2011-05-23,0.91977,LLL-Prereduction - Ant Colony Optimization using Probabilistic Beam Search
