dim,seed,method,pipeline,norm,gh,norm_over_gh,log_det,file,status,error
84,826,lll,LLL,4853.8642337832225,2344.8975921533415,2.069968535097464,582.1465225790039,svp_dim84_seed826.txt,ok,
84,826,bkz20,20,4853.8642337832225,2344.8975921533415,2.069968535097464,582.1465225790039,svp_dim84_seed826.txt,ok,
84,826,bkz20_30,20+30,4853.8642337832225,2344.8975921533415,2.069968535097464,582.1465225790039,svp_dim84_seed826.txt,ok,
84,826,bkz20_30_40,20+30+40,4853.8642337832225,2344.8975921533415,2.069968535097464,582.1465225790039,svp_dim84_seed826.txt,ok,
84,1175,lll,LLL,4624.529813937842,2340.390968780792,1.9759646467730791,581.9849289118835,svp_dim84_seed1175.txt,ok,
84,1175,bkz20,20,4624.529813937842,2340.390968780792,1.9759646467730791,581.9849289118835,svp_dim84_seed1175.txt,ok,
84,1175,bkz20_30,20+30,4624.529813937842,2340.390968780792,1.9759646467730791,581.9849289118835,svp_dim84_seed1175.txt,ok,
84,1175,bkz20_30_40,20+30+40,4624.529813937842,2340.390968780792,1.9759646467730791,581.9849289118835,svp_dim84_seed1175.txt,ok,
85,0,lll,LLL,4458.489093852313,2349.232314813587,1.897849380726783,588.7581753360431,svp_dim85_seed0.txt,ok,
85,0,bkz20,20,4458.489093852313,2349.232314813587,1.897849380726783,588.7581753360431,svp_dim85_seed0.txt,ok,
85,0,bkz20_30,20+30,4458.489093852313,2349.232314813587,1.897849380726783,588.7581753360431,svp_dim85_seed0.txt,ok,
85,0,bkz20_30_40,20+30+40,4458.489093852313,2349.232314813587,1.897849380726783,588.7581753360431,svp_dim85_seed0.txt,ok,
85,1,lll,LLL,5048.888887666278,2357.87827094979,2.1412847939908732,589.0704293545798,svp_dim85_seed1.txt,ok,
85,1,bkz20,20,5048.888887666278,2357.87827094979,2.1412847939908732,589.0704293545798,svp_dim85_seed1.txt,ok,
85,1,bkz20_30,20+30,5048.888887666278,2357.87827094979,2.1412847939908732,589.0704293545798,svp_dim85_seed1.txt,ok,
85,1,bkz20_30_40,20+30+40,5048.888887666278,2357.87827094979,2.1412847939908732,589.0704293545798,svp_dim85_seed1.txt,ok,
85,2,lll,LLL,4286.796939440914,2358.2668697717336,1.8177743131572937,589.0844369387208,svp_dim85_seed2.txt,ok,
85,2,bkz20,20,4286.796939440914,2358.2668697717336,1.8177743131572937,589.0844369387208,svp_dim85_seed2.txt,ok,
85,2,bkz20_30,20+30,4286.796939440914,2358.2668697717336,1.8177743131572937,589.0844369387208,svp_dim85_seed2.txt,ok,
85,2,bkz20_30_40,20+30+40,4286.796939440914,2358.2668697717336,1.8177743131572937,589.0844369387208,svp_dim85_seed2.txt,ok,
85,3,lll,LLL,4816.437272507553,2359.527322474438,2.0412720915037137,589.12985582641,svp_dim85_seed3.txt,ok,
85,3,bkz20,20,4816.437272507553,2359.527322474438,2.0412720915037137,589.12985582641,svp_dim85_seed3.txt,ok,
85,3,bkz20_30,20+30,4816.437272507553,2359.527322474438,2.0412720915037137,589.12985582641,svp_dim85_seed3.txt,ok,
85,3,bkz20_30_40,20+30+40,4816.437272507553,2359.527322474438,2.0412720915037137,589.12985582641,svp_dim85_seed3.txt,ok,
85,5,lll,LLL,4947.471879657326,2357.3267115870003,2.0987637629264326,589.0505436672239,svp_dim85_seed5.txt,ok,
85,5,bkz20,20,4947.471879657326,2357.3267115870003,2.0987637629264326,589.0505436672239,svp_dim85_seed5.txt,ok,
85,5,bkz20_30,20+30,4947.471879657326,2357.3267115870003,2.0987637629264326,589.0505436672239,svp_dim85_seed5.txt,ok,
85,5,bkz20_30_40,20+30+40,4947.471879657326,2357.3267115870003,2.0987637629264326,589.0505436672239,svp_dim85_seed5.txt,ok,
85,64,lll,LLL,4986.976839729655,2359.6525969546824,2.1134368873476297,589.1343686150745,svp_dim85_seed64.txt,ok,
85,64,bkz20,20,4986.976839729655,2359.6525969546824,2.1134368873476297,589.1343686150745,svp_dim85_seed64.txt,ok,
85,64,bkz20_30,20+30,4986.976839729655,2359.6525969546824,2.1134368873476297,589.1343686150745,svp_dim85_seed64.txt,ok,
85,64,bkz20_30_40,20+30+40,4986.976839729655,2359.6525969546824,2.1134368873476297,589.1343686150745,svp_dim85_seed64.txt,ok,
85,8,lll,LLL,5435.144248315769,2351.4239514120636,2.3114267612405186,588.8374362365721,svp_dim85_seed8.txt,ok,
85,8,bkz20,20,5435.144248315769,2351.4239514120636,2.3114267612405186,588.8374362365721,svp_dim85_seed8.txt,ok,
85,8,bkz20_30,20+30,5323.978587485119,2351.4239514120636,2.2641508709171707,588.8374362365721,svp_dim85_seed8.txt,ok,
85,8,bkz20_30_40,20+30+40,5323.978587485119,2351.4239514120636,2.2641508709171707,588.8374362365721,svp_dim85_seed8.txt,ok,
85,204,lll,LLL,4428.943327702443,2343.306719828606,1.8900399551734242,588.5435044136605,svp_dim85_seed204.txt,ok,
85,204,bkz20,20,4428.943327702443,2343.306719828606,1.8900399551734242,588.5435044136605,svp_dim85_seed204.txt,ok,
85,204,bkz20_30,20+30,4428.943327702443,2343.306719828606,1.8900399551734242,588.5435044136605,svp_dim85_seed204.txt,ok,
85,204,bkz20_30_40,20+30+40,4428.943327702443,2343.306719828606,1.8900399551734242,588.5435044136605,svp_dim85_seed204.txt,ok,
85,785,lll,LLL,4769.804398505248,2351.623765348277,2.0283025153893344,588.8446588656464,svp_dim85_seed785.txt,ok,
85,785,bkz20,20,4769.804398505248,2351.623765348277,2.0283025153893344,588.8446588656464,svp_dim85_seed785.txt,ok,
85,785,bkz20_30,20+30,4769.804398505248,2351.623765348277,2.0283025153893344,588.8446588656464,svp_dim85_seed785.txt,ok,
85,785,bkz20_30_40,20+30+40,4769.804398505248,2351.623765348277,2.0283025153893344,588.8446588656464,svp_dim85_seed785.txt,ok,
86,249,lll,LLL,4754.147452488198,2367.2884666256964,2.0082670614556326,595.8673441878867,svp_dim86_seed249.txt,ok,
86,249,bkz20,20,4754.147452488198,2367.2884666256964,2.0082670614556326,595.8673441878867,svp_dim86_seed249.txt,ok,
86,249,bkz20_30,20+30,4754.147452488198,2367.2884666256964,2.0082670614556326,595.8673441878867,svp_dim86_seed249.txt,ok,
86,249,bkz20_30_40,20+30+40,4754.147452488198,2367.2884666256964,2.0082670614556326,595.8673441878867,svp_dim86_seed249.txt,ok,
86,279,lll,LLL,5286.200715069382,2365.1004132405033,2.235085109061641,595.787818768775,svp_dim86_seed279.txt,ok,
86,279,bkz20,20,5286.200715069382,2365.1004132405033,2.235085109061641,595.787818768775,svp_dim86_seed279.txt,ok,
86,279,bkz20_30,20+30,5286.200715069382,2365.1004132405033,2.235085109061641,595.787818768775,svp_dim86_seed279.txt,ok,
86,279,bkz20_30_40,20+30+40,5286.200715069382,2365.1004132405033,2.235085109061641,595.787818768775,svp_dim86_seed279.txt,ok,
86,446,lll,LLL,5157.009501639491,2365.3974146344394,2.1801873417691553,595.7986176829027,svp_dim86_seed446.txt,ok,
86,446,bkz20,20,5157.009501639491,2365.3974146344394,2.1801873417691553,595.7986176829027,svp_dim86_seed446.txt,ok,
86,446,bkz20_30,20+30,5157.009501639491,2365.3974146344394,2.1801873417691553,595.7986176829027,svp_dim86_seed446.txt,ok,
